612950718882951168	Mon Jun 22 11:50:14 +0000 2015	0	0	"@rossoAnto @amazon ""but we saved 1.5b to wisely spend on didac villa, digao, and World Cup winner zaccardo."""	612854794391191552		142431811	165	897	2018	Tampa, FL
612950732061442048	Mon Jun 22 11:50:17 +0000 2015	0	421	"RT @ChristinaMilian: #REBEL #MUSICVIDEO coming soon. Be ready. ""Rebel"" available on @iTunes and @Amazon http://t.co/nIJoXqrsLd"			402930919	563	135	31544	new Orleans
612950765938806784	Mon Jun 22 11:50:25 +0000 2015	0	0	Keeps readers glued 2 pages while #mystery unfolds. IT'S MURDER, MY SON #KindleUnlimited #IARTG #ASMSG http://t.co/wXnWB0Z5rg via @amazon			80068767	12942	13912	139244	Harpers Ferry, WV
612950810675187712	Mon Jun 22 11:50:35 +0000 2015	0	0	The Dinner Guest: Of Noble Blood (vol.1) http://t.co/z9FUHkdelh via @amazon #Gothic #horror #short story of nobleman, beasts, and curses.			3066215324	482	594	956	Oklahoma
612950883287101440	Mon Jun 22 11:50:53 +0000 2015	0	0	Herbal Discoveries America Star Books http://t.co/VeKL34p7r0 via @amazon			166527803	578	1554	20711	England
612950903587516416	Mon Jun 22 11:50:58 +0000 2015	0	1	RT @garrardhayes: 5* #BookReviews James Lee Burke #Read #CrimeFiction #Kindle #Books #Mystery #Thriller @Amazon http://t.co/f6v9bvnnO7 http…			190586896	35877	29120	309810	Pennsylvania
612950965206024192	Mon Jun 22 11:51:12 +0000 2015	0	0	Added to Wish List: 'The Complete Serger Handbook' by Chris James via @amazon http://t.co/cynOyvLodP			243154783	766	1980	1343	Bay City Michigan
612950966070038528	Mon Jun 22 11:51:13 +0000 2015	0	0	@davidcurrie have fun! :) @amazon congratulations!	612885572600877056		227788626	119	94	264	Wroclaw, Poland
612951075977605120	Mon Jun 22 11:51:39 +0000 2015	0	11	RT @TheMysteryLadie: Most hilarious hostage scene in crime fiction history! TWELVE TO MURDER #mystery #KindleUnlimited #IARTG http://t.co/m…			919048254	4248	3709	145127	Greater Metro Detroit
612951256303300609	Mon Jun 22 11:52:22 +0000 2015	0	1	RT @MAllanScott: RT @TheMysteryLadie Bestselling thriller leaves U on the edge of UR seat! Carr's THREE DAYS TO FOREVER http://t.co/qHuRtXP…			80068767	12942	13912	139244	Harpers Ferry, WV
612951259780354048	Mon Jun 22 11:52:23 +0000 2015	0	0	@amazon @HeforShe Why am I not able to order #HeForShe pins to Sweden. You'd sell tons of them all over the world if you let us buy them.			1707885168	85	303	621	
612951347709767680	Mon Jun 22 11:52:44 +0000 2015	0	1	Today's Price: $0.00 The Revenge of Esther Norman Book Three by Barry Gray http://t.co/yihIeGodFE via @amazon #Free #Kindle #Ebook			846806030	8354	8203	20445	Available at
612951541801218050	Mon Jun 22 11:53:30 +0000 2015	0	4	RT @PeabodyAwards: Catch up with @TheAmericansFX. This #PeabodyWinner is available on @Youtube https://t.co/0RFZZV42cw and @Amazon http://t…			15031691	1191	628	67173	Florida, USA
612951598239649792	Mon Jun 22 11:53:43 +0000 2015	0	0	Twisted: LOST Series #2 by Cynthia Eden http://t.co/Nw9ME5il5W via @amazon			182905311	29	81	1449	
612951710387040256	Mon Jun 22 11:54:10 +0000 2015	0	1	RT @CentipedeTool: Our 4th #review on the #Centipede Sawhorse on @amazon is another 5 star review! http://t.co/fh3EOSEguE			18890549	3091	604	6911	USA
612951753215078400	Mon Jun 22 11:54:20 +0000 2015	0	1	RT @MmmisforMommy: I just bought: 'Baking: From My Home to Yours' by Dorie Greenspan via @amazon thanks @SuperPoints ! http://t.co/qUG6kK3g			3064304933	108	261	3083	
612951799763476480	Mon Jun 22 11:54:31 +0000 2015	0	0	The Trail of Blood: Following the Christians Down through the Centuries - or,... http://t.co/gX9tLlgtpp via @amazon			3144496384	297	2002	533	37766
612951837608513536	Mon Jun 22 11:54:40 +0000 2015	0	0	Save 25% off my book The High-Definition Leader: Building Multiethnic Churches in a Multiethnic Wo... http://t.co/IydoiyDn9M via @amazon			41858108	18909	253	48503	Charlotte, North Carolina
