id;ticker;name;index_id;exchange_id;fb_page;tw_name;tw_search_name;;other_tw_name;tw_name has other lang than AJ;fb page other lang
178;FISV;Fiserv Inc;1;;;Fiserv;Fiserv;;;;
179;FLIR;FLIR Systems;1;;;flir;FLIR Systems;;;;
180;FLS;Flowserve Corporation;1;;;Flowserve;Flowserve;;;;
181;FLR;Fluor Corp.;1;;;FluorCorp;Fluor Corp;;;;
182;FMC;FMC Corporation;1;;;FMCCorp;FMC Corp;;;;
183;FTI;FMC Technologies Inc.;1;;FMCTI;FMC_Tech;FMC Technologies;;;;
184;F;Ford Motor;1;;ford;Ford;Ford Motor;;;;
185;FOSL;Fossil, Inc.;1;;Fossil;Fossil;Fossil inc;;;;
186;BEN;Franklin Resources;1;;franklintempleton;fti_us;Franklin Resources;;;;
187;FCX;Freeport-McMoran Cp & Gld;1;;;FM_FCX;Freeport-McMoRan;;;;
188;FTR;Frontier Communications;1;;FrontierCorp;FrontierCorp;Frontier Communications;;;;
189;GME;GameStop Corp.;1;;GameStop;gamestopcorp;GameStop;;gamestop;;
190;GPS;Gap (The);1;;gap;Gap;Gap inc;;;;
191;GRMN;Garmin Ltd.;1;;Garmin;Garmin;Garmin;;;;
192;GD;General Dynamics;1;;;GDMS;General Dynamics;;;;
193;GE;General Electric;1;;GE;generalelectric;General Electric;;;;
194;GGP;General Growth Properties Inc.;1;;GeneralGrowthProperties;GeneralGrowth;General Growth Properties;;;;
195;GIS;General Mills;1;;;GeneralMills;General Mills;;;;
196;GM;General Motors;1;;generalmotors;GM;General Motors;;;;
197;GPC;Genuine Parts;1;;;;Genuine Parts Company;;;;
198;GNW;Genworth Financial Inc.;1;;Genworth;Genworth;Genworth;;;;
199;GILD;Gilead Sciences;1;;;GileadSciences;Gilead Sciences;;;;
200;GS;Goldman Sachs Group;1;;;GoldmanSachs;Goldman Sachs;;;;
201;GT;Goodyear Tire & Rubber;1;;goodyear.sa;goodyear;Goodyear Tire & Rubber;;;;
202;GOOG;Google Inc Class C;1;;Google;google;Google;;;;
203;GWW;Grainger (W.W.) Inc.;1;;grainger;grainger;Grainger inc;;;;
204;HAL;Halliburton Co.;1;;halliburton;Halliburton;Halliburton co;;;;
205;HBI;Hanesbrands Inc;1;;hanes;hanes;Hanesbrands;;;;
206;HOG;Harley-Davidson;1;;harley-davidson;harleydavidson;Harley-Davidson;;;;
207;HAR;Harman Int'l Industries;1;;harmankardon;harmankardon;Harman Kardon;;;;
208;HRS;Harris Corporation;1;;;HarrisCorp;Harris Corporation;;;;
209;HIG;Hartford Financial Svc.Gp.;1;;TheHartford;thehartford;Hartford Financial Services Group;;;;
210;HAS;Hasbro Inc.;1;;hasbrogaming;HasbroNews;Hasbro;;;;
211;HCA;HCA Holdings;1;;;;HCA Holdings;;;;
212;HCP;HCP Inc.;1;;;HCP_Nevada;HCP inc;;;;
213;HCN;Health Care REIT, Inc.;1;;;Welltower;Welltower;;;;
214;HP;Helmerich & Payne;1;;;HelmerichPayne;Helmerich & Payne;;;;
215;HSIC;Henry Schein;1;;HenryScheinDental;HenrySchein;Henry Schein;;;;
216;HES;Hess Corporation;1;;;HessCorporation;Hess corp;;;;
217;HPQ;Hewlett-Packard;1;;HP;HP;Hewlett Packard;;;;
218;HD;Home Depot;1;;homedepot;HomeDepot;Home Depot;;;;
219;HON;Honeywell Int'l Inc.;1;;honeywellhome;HoneywellNow;Honeywell;;;;
220;HRL;Hormel Foods Corp.;1;;;HormelFoods;Hormel Foods;;;;
221;;Hospira Inc.;1;;;;Hospira;;;;
222;HST;Host Hotels & Resorts;1;;;;Host Hotels & Resorts;;;;
223;HCBK;Hudson City Bancorp;1;;;;Hudson City bank;;;;
224;HUM;Humana Inc.;1;;Humana;Humana;Humana;;;;
225;HBAN;Huntington Bancshares;1;;HuntingtonBank;huntington_bank;Huntington Bancshares;;;;
226;SCHW;Charles Schwab Corporation;1;;CharlesSchwab;charlesschwab;Charles Schwab;;;;
227;CHK;Chesapeake Energy;1;;Chesapeake;Chesapeake;Chesapeake Energy;;;;
228;CVX;Chevron Corp.;1;;Chevron;Chevron;Chevron;;;;
229;CMG;Chipotle Mexican Grill;1;;chipotle;chipotletweets;Chipotle Mexican Grill;;;;
230;CB;Chubb Corp.;1;;;Chubb;Chubb Limited;;;;
231;ITW;Illinois Tool Works;1;;;ITWDynatec;Illinois Tool Works;;;;
232;IR;Ingersoll-Rand PLC;1;;ingersollrand;IngersollRand;Ingersoll Rand;;;;
233;INTC;Intel Corp.;1;;Intel;intel;Intel corp;;;;
234;ICE;Intercontinental Exchange;1;;;ICE_Markets;Intercontinental Exchange;;;;
235;IBM;International Bus. Machines;1;;IBM;IBM;IBM;;;;
236;IP;International Paper;1;;;IntlPaperCo;International Paper;;;;
237;IPG;Interpublic Group;1;;;InterpublicIPG;Interpublic Group;;;;
238;IFF;Intl Flavors & Fragrances;1;;;IFF;Intl Flavors & Fragrances;;;;
239;INTU;Intuit Inc.;1;;intuit;IntuitInc;Intuit;;;;
240;ISRG;Intuitive Surgical Inc.;1;;;IntuitiveSurg;Intuitive Surgical;;;;
241;IVZ;Invesco Ltd.;1;;;InvescoUS;Invesco;;;;
242;IRM;Iron Mountain Incorporated;1;;;IronMountain;Iron Mountain Incorporated;;;;
243;JBHT;J. B. Hunt Transport Services;1;;jbhunttransport;jbhunt360;J.B. Hunt Transport;;;;
244;JEC;Jacobs Engineering Group;1;;;;Jacobs Engineering;;;;
245;JNJ;Johnson & Johnson;1;;jnj;johnsonsbaby;Johnson & Johnson;;;;
246;JCI;Johnson Controls;1;;JohnsonControls;johnsoncontrols;Johnson Controls;;;;
247;JOY;Joy Global Inc.;1;;joyglobalinc;joyglobalinc;Joy Global inc;;;;
248;JPM;JPMorgan Chase & Co.;1;;chase;jpmorgan;JPMorgan Chase;;;;
249;JNPR;Juniper Networks;1;;JuniperNetworks;JuniperNetworks;Juniper Networks;;;;
250;KSU;Kansas City Southern;1;;;;Kansas City Southern;;;;
251;K;Kellogg Co.;1;;;KelloggCompany;Kellogg co;;;;
252;GMCR;Keurig Green Mountain;1;;keurig;Keurig;Keurig Green Mountain;;;;
253;KEY;KeyCorp;1;;keybank;keybank;KeyCorp;;;;
254;KMB;Kimberly-Clark;1;;KimberlyClarkCorp;KCCorp;Kimberly Clark;;;;
255;KIM;Kimco Realty;1;;;kimcorealty;Kimco Realty;;;;
256;KMI;Kinder Morgan;1;;KinderMorganInc;Kinder_Morgan;Kinder Morgan;;;;
257;KLAC;KLA-Tencor Corp.;1;;;KLATencor_Info;KLA-Tencor;;;;
258;KSS;Kohl's Corp.;1;;kohls;Kohls;Kohl's;;;;
