606314533649444865	Thu Jun 04 04:20:24 +0000 2015	67	49	Remote control tarantula. #NOPE http://t.co/NMrGtm5CHL http://t.co/seYQX0u2E8			20793816	1904224	62	13777	Seattle, Washington
606476681579229184	Thu Jun 04 15:04:43 +0000 2015	0	79	RT @Amazon3PSellers: Today is the last day to enter our @TowerPB Sweepstakes. Don't miss your opportunity to win! http://t.co/bXikEuQG32 ht…			20793816	1904224	62	13777	Seattle, Washington
606490695839412225	Thu Jun 04 16:00:24 +0000 2015	0	12	RT @Movember: We've teamed up with @amazon Prime to bring you the perfect Father's Day gift - http://t.co/6YpdeqVbz5			20793816	1904224	62	13777	Seattle, Washington
606508726141505538	Thu Jun 04 17:12:03 +0000 2015	16	10	Deal of the Day: Save up to 65% on Panasonic, Philips Norelco, &amp; Remington shaving &amp; grooming products http://t.co/G2KQ0zxOV3			20793816	1904224	62	13777	Seattle, Washington
606513710128103424	Thu Jun 04 17:31:51 +0000 2015	0	64	RT @chelseymaxwell: Someone was disappointed to discover that the #minionsboxes don't actually contain minions. http://t.co/dQODRYevez			20793816	1904224	62	13777	Seattle, Washington
606523623541735424	Thu Jun 04 18:11:15 +0000 2015	1	1	@rachcosio Congrats, and enjoy your big day!	606486364566069250		20793816	1904224	62	13777	Seattle, Washington
606530931420233729	Thu Jun 04 18:40:17 +0000 2015	118	251	Enter for a chance to win The Witcher: Wild Hunt https://t.co/VEfIsFbxrU NoPurchNec #AmazonGiveaway http://t.co/ql3fny7Vi5			20793816	1904224	62	13777	Seattle, Washington
606544016243490816	Thu Jun 04 19:32:17 +0000 2015	141	63	Remember this? #ThrowbackThursday http://t.co/32Zt8h1dxv http://t.co/xsJD0kj3nJ			20793816	1904224	62	13777	Seattle, Washington
606572149709619200	Thu Jun 04 21:24:04 +0000 2015	0	234	RT @AmazonVideo: #SNEAKPEEK: Catch this scene from tonight's premiere of #Hannibal Season 3! We. Can't. Wait. http://t.co/50TDCvA6TY https…			20793816	1904224	62	13777	Seattle, Washington
606573052219039745	Thu Jun 04 21:27:39 +0000 2015	0	39	RT @amazonmusic: Happy 1st Birthday to Prime Music! Millions are listening, join the party: http://t.co/RcZo5eUrIb #PrimeMusic1Year http://…			20793816	1904224	62	13777	Seattle, Washington
606585755205562368	Thu Jun 04 22:18:08 +0000 2015	161	1504	Follow @Amazon and retweet for a chance to win http://t.co/1Hl8MUoHKK Rules https://t.co/iu7s1uOr8M #AmazonSweeps http://t.co/2Nirrf3f24			20793816	1904224	62	13777	Seattle, Washington
606599353172692993	Thu Jun 04 23:12:10 +0000 2015	0	12	RT @tartemoderne: Whaaaaaat? I'm one very happy @Amazon customer. #minionsboxes #minions #despicableme #beedo #amazonprime http://t.co/3hfp…			20793816	1904224	62	13777	Seattle, Washington
606616710276349954	Fri Jun 05 00:21:08 +0000 2015	45	46	Enter for a chance to win The Spongebob Movie: Sponge Out of Water https://t.co/CX9wVU2lLj #AmazonGiveaway NoPurchNec http://t.co/KxqeJfDeSR			20793816	1904224	62	13777	Seattle, Washington
